;Bordeaux, France;Lille, France;Lyon, France;Marseille, France;Montpellier, France;Nantes, France;Nice, France;Paris, France;Strasbourg, France;Toulouse, France
Bordeaux, France;0;814642;557097;645467;484543;346917;802547;584305;968915;244676
Lille, France;808729;0;690955;999908;989159;602779;1156989;228177;524637;897141
Lyon, France;555450;690597;0;313764;303015;684551;470845;464588;488664;537748
Marseille, France;645721;1002452;314191;0;168944;986092;204591;776442;799554;403677
Montpellier, France;484673;992827;304567;170462;0;825044;327543;747619;789929;242629
Nantes, France;353412;614906;686269;985758;824835;0;1142839;384569;865271;584967
Nice, France;802770;1159501;471240;206569;325993;1143141;0;933491;784276;560726
Paris, France;590485;239818;466033;774987;747998;384535;932067;0;490230;678897
Strasbourg, France;968342;525123;487680;798460;787711;865809;784927;491678;0;968788
Toulouse, France;245643;909552;537330;403226;242302;586014;560306;679215;970963;0
